ID_ENTIDAD,DISTRITO,nombre_partido,candidato
8,1,PRD,PRD
8,1,PT,PT
8,1,MORENA,MORENA
8,1,PVEM,PVEM
8,2,PAN,PRI
8,2,PRI,PRI
8,2,PRD,PRI
8,2,PT,MORENA
8,2,MORENA,MORENA
8,2,PVEM,MORENA
8,3,PAN,PRD
8,3,PRI,PRD
8,3,PRD,PRD
8,3,PT,PT
8,3,MORENA,PT
8,3,PVEM,PT
8,4,PAN,PAN
8,4,PRI,PAN
8,4,PRD,PAN
8,4,PT,MORENA
8,4,MORENA,MORENA
8,4,PVEM,MORENA
8,5,PAN,PAN
8,5,PRI,PAN
8,5,PRD,PAN
8,5,PT,PVEM
8,5,MORENA,PVEM
8,5,PVEM,PVEM
8,6,PAN,PAN
8,6,PRI,PRI
8,6,PRD,PRD
8,6,PT,PT
8,6,MORENA,MORENA
8,6,PVEM,PVEM
8,7,PAN,PAN
8,7,PRI,PAN
8,7,PRD,PAN
8,7,PT,PT
8,7,MORENA,PT
8,7,PVEM,PT
8,8,PAN,PAN
8,8,PRI,PRI
8,8,PRD,PRD
8,8,PT,MORENA
8,8,MORENA,MORENA
8,8,PVEM,MORENA
8,9,PAN,PAN
8,9,PRI,PAN
8,9,PRD,PAN
8,9,PT,PVEM
8,9,MORENA,PVEM
8,9,PVEM,PVEM
9,1,PAN,PRD
9,1,PRI,PRD
9,1,PRD,PRD
9,1,PT,PT
9,1,MORENA,MORENA
9,1,PVEM,PVEM
9,2,PAN,PRI
9,2,PRI,PRI
9,2,PRD,PRI
9,2,PT,PVEM
9,2,MORENA,PVEM
9,2,PVEM,PVEM
9,3,PAN,PAN
9,3,PRI,PAN
9,3,PRD,PAN
9,3,PT,MORENA
9,3,MORENA,MORENA
9,3,PVEM,MORENA
9,4,PAN,PRD
9,4,PRI,PRD
9,4,PRD,PRD
9,4,PT,PT
9,4,MORENA,PT
9,4,PVEM,PT
9,5,PAN,PRI
9,5,PRI,PRI
9,5,PRD,PRI
9,5,PT,MORENA
9,5,MORENA,MORENA
9,5,PVEM,MORENA
9,6,PAN,PAN
9,6,PRI,PAN
9,6,PRD,PAN
9,6,PT,PT
9,6,MORENA,MORENA
9,6,PVEM,PVEM
9,7,PAN,PRD
9,7,PRI,PRD
9,7,PRD,PRD
9,7,PT,PT
9,7,MORENA,MORENA
9,7,PVEM,PVEM
9,8,PAN,PRI
9,8,PRI,PRI
9,8,PRD,PRI
9,8,PT,PT
9,8,MORENA,PT
9,8,PVEM,PT
9,9,PAN,PRI
9,9,PRI,PRI
9,9,PRD,PRI
9,9,PT,PT
9,9,MORENA,MORENA
9,9,PVEM,PVEM
9,10,PAN,PAN
9,10,PRI,PAN
9,10,PRD,PAN
9,10,PT,MORENA
9,10,MORENA,MORENA
9,10,PVEM,MORENA
9,11,PAN,PRD
9,11,PRI,PRD
9,11,PRD,PRD
9,11,PT,PT
9,11,MORENA,MORENA
9,11,PVEM,PVEM
9,12,PAN,PRD
9,12,PRI,PRD
9,12,PRD,PRD
9,12,PT,PT
9,12,MORENA,MORENA
9,12,PVEM,PVEM
9,13,PAN,PRD
9,13,PRI,PRD
9,13,PRD,PRD
9,13,PT,MORENA
9,13,MORENA,MORENA
9,13,PVEM,MORENA
9,14,PAN,PRD
9,14,PRI,PRD
9,14,PRD,PRD
9,14,PT,PT
9,14,MORENA,MORENA
9,14,PVEM,PVEM
9,15,PAN,PAN
9,15,PRI,PAN
9,15,PRD,PAN
9,15,PT,PVEM
9,15,MORENA,PVEM
9,15,PVEM,PVEM
9,16,PAN,PRI
9,16,PRI,PRI
9,16,PRD,PRI
9,16,PT,MORENA
9,16,MORENA,MORENA
9,16,PVEM,MORENA
9,17,PAN,PAN
9,17,PRI,PAN
9,17,PRD,PAN
9,17,PT,PVEM
9,17,MORENA,PVEM
9,17,PVEM,PVEM
9,18,PAN,PRD
9,18,PRI,PRD
9,18,PRD,PRD
9,18,PT,PT
9,18,MORENA,MORENA
9,18,PVEM,PVEM
9,19,PAN,PRI
9,19,PRI,PRI
9,19,PRD,PRI
9,19,PT,PT
9,19,MORENA,MORENA
9,19,PVEM,PVEM
9,20,PAN,PRD
9,20,PRI,PRD
9,20,PRD,PRD
9,20,PT,PT
9,20,MORENA,PT
9,20,PVEM,PT
9,21,PAN,PRI
9,21,PRI,PRI
9,21,PRD,PRI
9,21,PT,PT
9,21,MORENA,MORENA
9,21,PVEM,PVEM
9,22,PAN,PRI
9,22,PRI,PRI
9,22,PRD,PRI
9,22,PT,PT
9,22,MORENA,MORENA
9,22,PVEM,PVEM
9,23,PAN,PAN
9,23,PRI,PAN
9,23,PRD,PAN
9,23,PT,MORENA
9,23,MORENA,MORENA
9,23,PVEM,MORENA
9,24,PAN,PAN
9,24,PRI,PAN
9,24,PRD,PAN
9,24,PT,PT
9,24,MORENA,MORENA
9,24,PVEM,PVEM
10,1,PAN,PAN
10,1,PRI,PAN
10,1,PRD,PAN
10,1,PT,MORENA
10,1,MORENA,MORENA
10,1,PVEM,MORENA
10,2,PAN,PRI
10,2,PRI,PRI
10,2,PRD,PRI
10,2,PT,MORENA
10,2,MORENA,MORENA
10,2,PVEM,MORENA
10,3,PAN,PRI
10,3,PRI,PRI
10,3,PRD,PRI
10,3,PT,MORENA
10,3,MORENA,MORENA
10,3,PVEM,MORENA
10,4,PAN,PAN
10,4,PRI,PAN
10,4,PRD,PAN
10,4,PT,PT
10,4,MORENA,PT
10,4,PVEM,PT
11,1,PAN,PAN
11,1,PRI,PRI
11,1,PRD,PRD
11,1,PT,PT
11,1,MORENA,MORENA
11,1,PVEM,PVEM
11,2,PAN,PAN
11,2,PRI,PRI
11,2,PRD,PRD
11,2,PT,PT
11,2,MORENA,MORENA
11,2,PVEM,PVEM
11,3,PAN,PAN
11,3,PRI,PRI
11,3,PRD,PRD
11,3,PT,PT
11,3,MORENA,MORENA
11,3,PVEM,PVEM
11,4,PAN,PAN
11,4,PRI,PRI
11,4,PRD,PRD
11,4,PT,PT
11,4,MORENA,MORENA
11,4,PVEM,PVEM
11,5,PAN,PAN
11,5,PRI,PRI
11,5,PRD,PRD
11,5,PT,PT
11,5,MORENA,MORENA
